move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
b1c3,0.007,0.824,0.169,71.0,,b1c3,92.0,,f1e2,78.0,,g1f3,73.0,,111,10
f8e7,0.353,0.644,0.003,113.0,,f8e7,86.0,,b8c6,90.0,,c8f5,104.0,,111,11
g1f3,0.007,0.831,0.162,69.0,,f1e2,89.0,,f1d3,85.0,,g1f3,83.0,,111,12
e8g8,0.166,0.827,0.007,70.0,,e8g8,76.0,,c8f5,81.0,,e7f6,94.0,,111,13
g2g3,0.284,0.713,0.003,-98.0,,f1e2,94.0,,h2h3,62.0,,c1e3,57.0,,111,14
c8g4,0.144,0.848,0.008,62.0,,f8e8,-62.0,,b8c6,-56.0,,e7f6,-54.0,,111,15
f1g2,0.192,0.803,0.005,-76.0,,h2h3,43.0,,c1e3,-30.0,,f1e2,-44.0,,111,16
b6c4,0.007,0.835,0.158,-67.0,,b6c4,-65.0,,f8e8,-46.0,,e7f6,-34.0,,111,17
e1g1,0.662,0.337,0.001,-161.0,,h2h3,-74.0,,e1g1,-103.0,,b2b3,-129.0,,111,18
b8c6,0.019,0.921,0.06,-24.0,,d6d5,-140.0,,f8e8,-78.0,,c7c6,-77.0,,111,19
b2b3,0.269,0.728,0.003,-93.0,,h2h3,-24.0,,f1e1,-97.0,,b2b3,-97.0,,111,20
c4b6,0.002,0.598,0.4,-116.0,,c4b6,-108.0,,g4f3,13.0,,c4a5,40.0,,111,21
c1b2,0.676,0.323,0.001,-160.0,,h2h3,-96.0,,d1d2,-153.0,,a2a3,-180.0,,111,22
e7f6,0.001,0.337,0.662,-156.0,,c6b4,-163.0,,d8d7,-149.0,,f8e8,-138.0,,111,23
d4d5,0.965,0.035,0.0,-257.0,,c3e4,-122.0,,d1d2,-143.0,,h2h3,-151.0,,111,24
b6d5,1.0,0.0,0.0,498.0,,c6e5,-212.0,,c6d4,-191.0,,c6b4,-142.0,,111,25
c3d5,0.944,0.056,0.0,-235.0,,d1d5,540.0,,c3d5,-231.0,,d1d2,-348.0,,111,26
f6b2,0.0,0.015,0.985,-286.0,,f6b2,-267.0,,c6e5,621.0,,g4f3,646.0,,111,27
a1b1,0.936,0.064,0.0,-227.0,,a1b1,-266.0,,b3b4,-753.0,,f1e1,-806.0,,111,28
b2e5,0.0,0.054,0.946,-233.0,,b2d4,-299.0,,b2a3,-253.0,,b2f6,-227.0,,111,29
d1c2,1.0,0.0,0.0,-610.0,,b1c1,-238.0,,d5e3,-277.0,,b3b4,-399.0,,111,30
c6d4,0.997,0.003,0.0,332.0,,g4f3,-605.0,,a8b8,-283.0,,f8e8,-277.0,,111,31
f3d4,0.0,0.003,0.997,332.0,,f3d4,368.0,,c2d1,-605.0,,f3e5,-700.0,,111,32
e5d4,1.0,0.0,0.0,401.0,,c7c6,325.0,,e5d4,406.0,,g7g6,414.0,,111,33
d5c7,0.043,0.937,0.02,-14.0,,c2e4,447.0,,d5c7,-6.0,,h2h3,-48.0,,111,34
a8c8,0.02,0.937,0.043,-13.0,,a8c8,-9.0,,a8b8,19.0,,g4f5,41.0,,111,35
b1c1,0.885,0.115,0.0,-195.0,,c2e4,-12.0,,c2d2,-177.0,,b1c1,-200.0,,111,36
d4b6,0.005,0.845,0.15,-62.0,,d6d5,-206.0,,d4c5,-99.0,,d8d7,-91.0,,111,37
g2b7,1.0,0.0,0.0,-861.0,,c2e4,-74.0,,c7d5,-662.0,,h2h3,-669.0,,111,38
c8c7,0.0,0.0,1.0,-846.0,,c8c7,-921.0,,d8c7,-532.0,,d8d7,-336.0,,111,39
c2e4,1.0,0.0,0.0,-823.0,,c2e4,-812.0,,c2c7,-923.0,,b7e4,-928.0,,111,40
g4h3,0.0,0.0,1.0,-770.0,,g4h3,-836.0,,c7c1,-815.0,,h7h5,-784.0,,111,41
f1e1,1.0,0.0,0.0,-953.0,,b7d5,-800.0,,c1c7,-810.0,,a2a4,-861.0,,111,42
c7c1,0.0,0.0,1.0,-821.0,,d8f6,-962.0,,c7c1,-824.0,,d6d5,-823.0,,111,43
e1c1,1.0,0.0,0.0,-853.0,,e1c1,-840.0,,b3b4,-1523.0,,a2a3,-1707.0,,111,44
d8c7,1.0,0.0,0.0,558.0,,f8e8,-866.0,,d8f6,-815.0,,g7g6,-807.0,,111,45
c1c7,0.0,0.0,1.0,582.0,,c1c7,487.0,,c1d1,-800.0,,c1c4,-825.0,,111,46
b6c7,1.0,0.0,0.0,575.0,,b6c7,556.0,,d6d5,661.0,,h3f5,705.0,,111,47
b7a6,0.0,0.0,1.0,423.0,,g3g4,528.0,,a2a4,512.0,,b7d5,500.0,,111,48
f7f5,1.0,0.0,0.0,760.0,,h3e6,397.0,,d6d5,467.0,,h7h5,487.0,,111,49
e4d5,0.0,0.0,1.0,587.0,,e4e7,723.0,,e4e6,629.0,,a6c4,629.0,,111,50
g8h8,1.0,0.0,0.0,571.0,,g8h8,561.0,,f8f7,,5.0,f8f7,,5.0,111,51
a6c4,0.0,0.0,1.0,502.0,,a6f1,584.0,,b3b4,557.0,,d5b7,546.0,,111,52
f8e8,1.0,0.0,0.0,676.0,,c7b6,504.0,,h7h6,546.0,,f5f4,561.0,,111,53
f2f4,1.0,0.0,0.0,,-4.0,c4f1,588.0,,d5d2,500.0,,c4e2,378.0,,111,54
c7b6,0.0,0.0,1.0,,-3.0,c7b6,,-4.0,h7h5,112.0,,h7h6,116.0,,111,55
g1h1,1.0,0.0,0.0,,-2.0,d5d4,,-3.0,d5c5,,-3.0,g1h1,,-2.0,111,56
e8e1,0.0,0.0,1.0,,-1.0,e8e1,,-2.0,h7h6,45.0,,h7h5,99.0,,111,57
c4f1,1.0,0.0,0.0,,-1.0,c4f1,,-1.0,c4f1,,-1.0,c4f1,,-1.0,111,58
e1f1,,,,,0.0,e1f1,,-1.0,h7h5,-1111.0,,h7h6,-1059.0,,111,59
e2e4,0.02,0.9,0.08,33.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,112,0
e7e5,0.088,0.894,0.018,38.0,,c7c5,32.0,,e7e5,43.0,,e7e6,52.0,,112,1
g2g3,0.337,0.66,0.003,-115.0,,g1f3,41.0,,f1e2,6.0,,b1c3,0.0,,112,2
g8f6,0.039,0.921,0.04,0.0,,d7d5,-84.0,,f8c5,11.0,,b8c6,12.0,,112,3
f1g2,0.039,0.921,0.04,0.0,,b1c3,9.0,,f1g2,6.0,,g1f3,-23.0,,112,4
b8c6,0.039,0.923,0.038,0.0,,f8c5,0.0,,b8c6,5.0,,c7c6,21.0,,112,5
b1c3,0.038,0.923,0.039,0.0,,b1c3,0.0,,c2c4,-5.0,,g1e2,-12.0,,112,6
